Index Name,Top 1 Success,Top 5 Success,Top 10 Success,Mean Search Duration,Median Search Duration,Standard Deviation,25th Percentile,50th Percentile (Median),75th Percentile,90th Percentile,Unnamed: 0,timestamp,load_datafreme_duration_s,build_index_duration_s
index_ivf_flat__cosine_similarity,74.4,92.0,92.7,0.31097296738624575,0.3758052587509155,0.11157790870402406,0.19662261009216306,0.3758052587509155,0.3965890407562256,0.40001490116119387,0,2024-06-24 13:09:23.304426,112.70850920677184,114.44417715072632
index_flat__cosine_similarity,74.3,92.10000000000001,92.80000000000001,0.3877546589374542,0.39756786823272705,0.05796983291109872,0.39603018760681147,0.39756786823272705,0.3989624381065368,0.4008985757827758,0,2024-06-24 12:39:35.268602,113.467449426651,0.5170822143554688
index_hnsw__cosine_similarity,74.3,92.10000000000001,92.80000000000001,0.3968518714904785,0.396045446395874,0.024859492398854523,0.39130520820617676,0.396045446395874,0.3985161781311035,0.40221092700958244,0,2024-06-24 14:47:51.252210,121.22467875480652,160.49079418182373
index_hnsw__euclidean_distance,74.3,92.30000000000001,93.0,0.34096445655822755,0.38966333866119385,0.08866360617033178,0.20748150348663327,0.38966333866119385,0.3968182802200317,0.40207035541534425,0,2024-06-24 14:24:50.563846,114.53623223304749,128.95426225662231
index_ivf_flat__euclidean_distance,74.3,92.30000000000001,93.0,0.3225873942375183,0.3926719427108764,0.09703730781987602,0.1973783373832702,0.3926719427108764,0.3968662619590759,0.39900867938995355,0,2024-06-24 12:48:45.702664,113.11058592796326,95.39298272132874
index_ivf_sq8__euclidean_distance,74.3,92.2,93.0,0.3049667954444885,0.3833731412887573,0.10186306222198661,0.1964175105094909,0.3833731412887573,0.3963985443115234,0.39814374446868894,0,2024-06-24 13:19:46.214169,121.13553547859192,117.70802998542786
index_flat__euclidean_distance,74.3,92.30000000000001,93.0,0.4000093040466309,0.3978350162506103,0.038166824288802075,0.39662480354309076,0.3978350162506103,0.3990442752838135,0.4020128488540649,0,2024-06-24 12:20:52.456377,111.687890291214,0.5083973407745361
index_scann__euclidean_distance,73.8,90.5,90.9,0.3074776413440704,0.3784376382827759,0.10648170440177833,0.19663268327713007,0.3784376382827759,0.39658892154693604,0.4005729675292969,0,2024-06-24 15:00:20.644404,113.96233749389648,136.6103873252869
index_ivf_sq8__cosine_similarity,72.39999999999999,92.30000000000001,92.80000000000001,0.30924227738380433,0.38101768493652344,0.10162173910913004,0.1966326236724853,0.38101768493652344,0.3965153694152832,0.39847457408905024,0,2024-06-24 13:41:49.613238,113.75889348983765,93.8499813079834
index_scann__cosine_similarity,72.1,88.0,88.2,0.29714829063415527,0.3330937623977661,0.1011026029771475,0.19640678167343137,0.3330937623977661,0.39624595642089844,0.3979819297790527,0,2024-06-24 15:21:35.012064,118.37261033058168,164.13577461242676
index_ivf_pq__euclidean_distance,24.8,41.6,45.800000000000004,0.3107803761959076,0.3872828483581543,0.10002019167526449,0.19656711816787714,0.3872828483581543,0.3964340686798095,0.3991139650344848,0,2024-06-24 13:51:40.525757,112.92215728759766,117.5175096988678
index_scann__inner_product,5.4,21.2,26.5,0.30696788930892943,0.38952732086181635,0.10227590396697286,0.19659227132797238,0.38952732086181635,0.3964529037475586,0.39724771976470946,0,2024-06-24 15:10:31.017394,115.49246549606325,183.5108957290649
index_ivf_sq8__inner_product,3.5000000000000004,11.899999999999999,15.4,0.3926779594421387,0.39654064178466797,0.032520394149847386,0.3959712982177734,0.39654064178466797,0.3970927596092224,0.39874260425567626,0,2024-06-24 13:29:44.790655,114.47788381576538,138.17434763908386
index_ivf_flat__inner_product,3.2,11.4,14.899999999999999,0.33811354446411135,0.39601075649261475,0.10966654730343278,0.1970530748367309,0.39601075649261475,0.396949291229248,0.39982020854949946,0,2024-06-24 12:58:27.909410,114.5371036529541,145.65559911727905
index_hnsw__inner_product,2.1999999999999997,5.4,6.9,0.3271868600845337,0.38906788825988764,0.09450768273575808,0.20068991184234614,0.38906788825988764,0.3968410491943359,0.4033248662948608,0,2024-06-24 14:35:36.437825,118.76090574264526,210.0620927810669
index_flat__inner_product,2.1999999999999997,5.4,6.9,0.40099929547309876,0.3979381322860718,0.038428045733785984,0.3971695899963379,0.3979381322860718,0.39874941110610956,0.40004687309265136,0,2024-06-24 12:30:15.332470,113.14229488372804,0.5076971054077148
index_ivf_pq__cosine_similarity,1.9,3.2,4.2,0.3937203049659729,0.39663612842559814,0.037439153315925656,0.3958176970481872,0.39663612842559814,0.3978734016418457,0.40173645019531246,0,2024-06-24 14:13:21.405700,114.3794012069702,111.99418878555298
index_ivf_pq__inner_product,0.5,0.8999999999999999,0.8999999999999999,0.34605908346176145,0.3960733413696289,0.0882216899568301,0.2549068331718444,0.3960733413696289,0.39690291881561274,0.39771001338958734,0,2024-06-24 14:01:36.221273,114.31581950187685,165.759450674057
